TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
dentist                        | T3_LOCAL_CORE        |    24 |        61665.89
library                        | T3_LOCAL_CORE        |    26 |        61541.93
doctors                        | T3_LOCAL_CORE        |    41 |        60838.45
park                           | T4_DAILY_SERVICE     |    62 |        17363.18
place_of_worship               | T4_DAILY_SERVICE     |   106 |        10165.98
fuel                           | T4_DAILY_SERVICE     |    51 |         7845.38
garden                         | T4_DAILY_SERVICE     |   247 |         6871.97
hardware                       | T4_DAILY_SERVICE     |     3 |         6490.20
furniture                      | T4_DAILY_SERVICE     |    10 |         6302.57
electronics                    | T4_DAILY_SERVICE     |    10 |         6302.57
charging_station               | T4_DAILY_SERVICE     |    12 |         6274.20
bureau_de_change               | T4_DAILY_SERVICE     |    13 |         6261.75
pet                            | T4_DAILY_SERVICE     |    15 |         6239.51
optician                       | T4_DAILY_SERVICE     |    19 |         6202.81
bicycle_rental                 | T4_DAILY_SERVICE     |    22 |         6180.07
florist                        | T4_DAILY_SERVICE     |    28 |         6142.72
butcher                        | T4_DAILY_SERVICE     |    29 |         6137.30
post_office                    | T4_DAILY_SERVICE     |    30 |         6132.05
shoes                          | T4_DAILY_SERVICE     |    35 |         6108.24
bank                           | T4_DAILY_SERVICE     |    38 |         6095.56
bakery                         | T4_DAILY_SERVICE     |    57 |         6033.22
pharmacy                       | T4_DAILY_SERVICE     |    98 |         5950.68
convenience                    | T4_DAILY_SERVICE     |   185 |         5855.80
clothes                        | T4_DAILY_SERVICE     |   244 |         5815.45
arts_centre                    | T5_SPEC_GASTRO       |     1 |         1398.12
car_wash                       | T5_SPEC_GASTRO       |    38 |          782.20
car_repair                     | T5_SPEC_GASTRO       |    40 |          668.40
food_court                     | T5_SPEC_GASTRO       |     1 |          666.16
nightclub                      | T5_SPEC_GASTRO       |     4 |          644.53
bar                            | T5_SPEC_GASTRO       |     6 |          638.21
community_centre               | T5_SPEC_GASTRO       |     9 |          631.90
beauty                         | T5_SPEC_GASTRO       |    17 |          622.01
chemist                        | T5_SPEC_GASTRO       |    21 |          618.73
pub                            | T5_SPEC_GASTRO       |    22 |          618.01
cafe                           | T5_SPEC_GASTRO       |    35 |          610.82
hairdresser                    | T5_SPEC_GASTRO       |    43 |          607.65
company                        | T5_SPEC_GASTRO       |    48 |          605.96
fast_food                      | T5_SPEC_GASTRO       |    64 |          601.55
restaurant                     | T5_SPEC_GASTRO       |   151 |          588.58
playground                     | T6_MICRO_INFRA       |   251 |            9.04
kiosk                          | T6_MICRO_INFRA       |    27 |            6.70
newsagent                      | T6_MICRO_INFRA       |     8 |            6.34
fountain                       | T6_MICRO_INFRA       |    17 |            6.22
toilets                        | T6_MICRO_INFRA       |    30 |            6.13
vending_machine                | T6_MICRO_INFRA       |    38 |            6.10
picnic_table                   | T6_MICRO_INFRA       |    45 |            6.07
